DATE,PHARMACY,LOCATION,DRUG,BRAND,PRICE,QUANTITY,TOTAL COST ,AVG. PRICE,70% AVG. PRICE,PRICE RISK,PRICE RISK SCORE,AVG. QTY,1.5 OF AVG. QTY,QTY RISK,QTY_RISK_SCORE,SUPPLIER_NAME,BATCH_NUMBER,EXPIRY_DATE,DAYS_TO_EXPIRY,EXPIRY_RISK,EXPIRY_RISK_SCORE,SALES_CHANNEL,DRUG_FORM,Column2
02-12-24,Ryan Plc,Urban,Amoxicillin,HealthFirst,1271.41,95,120783.95,2624.80,1837.36,High Risk,1,51,76,High Risk,1,"Robinson, Jones And Welch",FA-39909-QL,09-07-26,584.00,Low Risk,0,Market Stall,Tablet,1
25-04-24,Abbott-Munoz,Urban,Chloroquine,PharmaTrust,2621.61,63,165161.43,2656.70,1859.69,Low Risk,0,51,77,Low Risk,0,Wright And Sons,AF-85228-MH,01-08-25,463.00,Low Risk,0,In-Store,Syrup,2
25-04-24,Anderson Group,Urban,Azithromycin,BioCare,2346.79,12,28161.48,2628.19,1839.74,Low Risk,0,50,75,Low Risk,0,Powell Llc,JS-32803-WM,17-06-26,783.00,Low Risk,0,Mobile Van,Injection,3
25-04-24,Baker And Sons,Urban,Amoxicillin,BioCare,3684.74,97,357419.78,2624.80,1837.36,Low Risk,0,51,76,High Risk,1,"Johnston, Sanchez And Kennedy",OH-37129-RC,03-05-25,373.00,Low Risk,0,Mobile Van,Tablet,1
25-04-24,"Baker, Mason And White",Rural,Ciprofloxacin,BioCare,2665.04,91,242518.64,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,"Robinson, Jones And Welch",FQ-79606-BL,26-11-25,580.00,Low Risk,0,In-Store,Tablet,1
25-04-24,Blair Plc,Urban,Chloroquine,HealthFirst,2051.57,60,123094.2,2656.70,1859.69,Low Risk,0,51,77,Low Risk,0,"Brooks, Lam And Hayes",YH-87014-GE,12-03-27,1051.00,Low Risk,0,In-Store,Capsule,4
25-04-24,Carlson-Cruz,Rural,Chloroquine,HealthFirst,4428.3,81,358692.3,2656.70,1859.69,Low Risk,0,51,77,High Risk,1,Henderson-Bernard,PQ-24471-SA,12-09-25,505.00,Low Risk,0,Market Stall,Syrup,2
25-04-24,Carlson-Cruz,Urban,Metformin,MediPlus,3519.71,53,186544.63,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Russell Group,PM-57836-CS,02-10-25,525.00,Low Risk,0,Mobile Van,Syrup,2
25-04-24,Doyle Ltd,Rural,Ciprofloxacin,MediPlus,1602.72,76,121806.72,2610.77,1827.54,High Risk,1,51,76,High Risk,1,House-Glover,HE-88860-FA,18-04-26,723.00,Low Risk,0,Market Stall,Injection,3
25-04-24,"Ferrell, Rice And Maddox",Urban,Metformin,BioCare,216.33,22,4759.26,2644.11,1850.87,High Risk,1,52,77,Low Risk,0,"West, Henderson And Ramirez",AQ-23160-WD,18-09-25,511.00,Low Risk,0,Market Stall,Tablet,1
25-04-24,"Flowers, Martin And Kelly",Rural,Artemisinin,MediPlus,3805.07,86,327236.02,2588.57,1812.00,Low Risk,0,52,78,High Risk,1,Jones Inc,ZW-43331-XR,18-03-26,692.00,Low Risk,0,Mobile Van,Injection,3
25-04-24,Garcia-James,Urban,Amlodipine,MediPlus,843.58,13,10966.54,2698.49,1888.95,High Risk,1,51,77,Low Risk,0,Hancock Inc,YO-09687-TV,01-06-25,402.00,Low Risk,0,Market Stall,Tablet,1
25-04-24,George Group,Urban,Paracetamol,HealthFirst,1910.8,81,154774.8,2636.16,1845.31,Low Risk,0,49,74,High Risk,1,"Robinson, Jones And Welch",NZ-20613-OI,07-05-25,377.00,Low Risk,0,In-Store,Injection,3
25-04-24,Harrell Llc,Urban,Coartem,HealthFirst,538.9,19,10239.1,2523.47,1766.43,High Risk,1,51,77,Low Risk,0,Russell Group,XH-63908-NC,08-03-26,682.00,Low Risk,0,Market Stall,Capsule,4
25-04-24,"Harris, Collins And Carney",Urban,Amlodipine,PharmaTrust,2331.34,3,6994.02,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,"West, Henderson And Ramirez",QV-81074-KW,18-12-25,602.00,Low Risk,0,In-Store,Injection,3
25-04-24,"Martin, Rose And Obrien",Urban,Ciprofloxacin,HealthFirst,3725.32,100,372532,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,Chapman And Sons,QF-50850-TP,01-10-26,889.00,Low Risk,0,Market Stall,Injection,3
25-04-24,"Martin, Rose And Obrien",Urban,Ciprofloxacin,FarmaTrust,3824.38,41,156799.58,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,"Johnston, Sanchez And Kennedy",KW-12269-FM,04-06-25,405.00,Low Risk,0,Mobile Van,Syrup,2
25-04-24,"Mcclain, Miller And Henderson",Rural,Paracetamol,HealthFirst,2210.87,32,70747.84,2636.16,1845.31,Low Risk,0,49,74,Low Risk,0,Powell Llc,DX-94044-BG,14-04-26,719.00,Low Risk,0,In-Store,Syrup,2
25-04-24,"Mcclure, Ward And Lee",Rural,Paracetamol,BioCare,4350.77,17,73963.09,2636.16,1845.31,Low Risk,0,49,74,Low Risk,0,"Brooks, Lam And Hayes",AS-79923-YX,18-01-26,633.00,Low Risk,0,In-Store,Injection,3
25-04-24,Perez Inc,Rural,Metformin,BioCare,2839.76,1,2839.76,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Novak Plc,YP-00088-YS,24-11-26,943.00,Low Risk,0,Mobile Van,Capsule,4
25-04-24,Rodriguez-Graham,Rural,Amlodipine,PharmaTrust,4202.03,63,264727.89,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,"Robinson, Jones And Welch",MO-91261-XJ,11-07-25,442.00,Low Risk,0,Market Stall,Tablet,1
25-04-24,"Snyder, Campos And Callahan",Urban,Amlodipine,BioCare,1252.07,9,11268.63,2698.49,1888.95,High Risk,1,51,77,Low Risk,0,Powell Llc,ZQ-71905-UF,11-01-27,991.00,Low Risk,0,Mobile Van,Injection,3
25-04-24,Williams And Sons,Urban,Azithromycin,PharmaTrust,2629.16,27,70987.32,2628.19,1839.74,Low Risk,0,50,75,Low Risk,0,Gomez-Jenkins,XW-85837-RI,20-03-27,1059.00,Low Risk,0,In-Store,Capsule,4
26-04-24,Baker And Sons,Urban,Artemisinin,MediPlus,3164.3,16,50628.8,2588.57,1812.00,Low Risk,0,52,78,Low Risk,0,Novak And Sons,FH-63459-KP,01-06-26,766.00,Low Risk,0,In-Store,Capsule,4
26-04-24,Baker And Sons,Rural,Metformin,MediPlus,4384.71,92,403393.32,2644.11,1850.87,Low Risk,0,52,77,High Risk,1,"Johnston, Sanchez And Kennedy",YP-88295-HZ,18-10-26,905.00,Low Risk,0,In-Store,Tablet,1
26-04-24,Blair Plc,Urban,Chloroquine,PharmaTrust,1457.18,96,139889.28,2656.70,1859.69,High Risk,1,51,77,High Risk,1,"Robinson, Jones And Welch",VU-67762-AN,28-08-25,489.00,Low Risk,0,Market Stall,Injection,3
26-04-24,Blair Plc,Urban,Azithromycin,FarmaTrust,3976.65,19,75556.35,2628.19,1839.74,Low Risk,0,50,75,Low Risk,0,"Stanley, Tucker And Lee",UO-84444-XR,08-08-25,469.00,Low Risk,0,Market Stall,Injection,3
26-04-24,Davis And Sons,Urban,Azithromycin,PharmaTrust,1741.35,34,59205.9,2628.19,1839.74,High Risk,1,50,75,Low Risk,0,"West, Henderson And Ramirez",AX-30762-RV,23-11-26,941.00,Low Risk,0,In-Store,Syrup,2
26-04-24,Dudley Group,Rural,Artemisinin,MediPlus,1270.57,69,87669.33,2588.57,1812.00,High Risk,1,52,78,Low Risk,0,Novak Plc,LK-01788-SQ,03-11-26,921.00,Low Risk,0,In-Store,Tablet,1
26-04-24,"Dyer, Potter And Mack",Rural,Chloroquine,HealthFirst,324.99,60,19499.4,2656.70,1859.69,High Risk,1,51,77,Low Risk,0,Yu Inc,XA-50953-RC,28-08-25,489.00,Low Risk,0,In-Store,Tablet,1
26-04-24,"Dyer, Potter And Mack",Urban,Ciprofloxacin,BioCare,4009.42,11,44103.62,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,Morton-Chase,NY-82408-OO,29-01-26,643.00,Low Risk,0,Mobile Van,Syrup,2
26-04-24,"Ferrell, Rice And Maddox",Rural,Amlodipine,BioCare,4957.94,61,302434.34,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,"Robinson, Jones And Welch",RC-87267-SV,19-09-26,876.00,Low Risk,0,In-Store,Tablet,1
26-04-24,Galloway-Wyatt,Urban,Coartem,PharmaTrust,2295.06,19,43606.14,2523.47,1766.43,Low Risk,0,51,77,Low Risk,0,"Robinson, Jones And Welch",KY-49550-TC,12-06-26,777.00,Low Risk,0,Mobile Van,Syrup,2
26-04-24,Garcia-James,Rural,Ibuprofen,BioCare,1925.12,84,161710.08,2543.53,1780.47,Low Risk,0,49,73,High Risk,1,Novak Plc,PO-99199-PY,10-02-27,1020.00,Low Risk,0,In-Store,Capsule,4
26-04-24,Gray-Mayo,Urban,Amlodipine,PharmaTrust,4290.72,74,317513.28,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,Yu Inc,RR-63062-DM,30-12-26,978.00,Low Risk,0,Market Stall,Tablet,1
26-04-24,"Guzman, Hoffman And Baldwin",Urban,Metformin,HealthFirst,3988.57,33,131622.81,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Gray Group,NL-73794-NY,12-11-26,930.00,Low Risk,0,Market Stall,Tablet,1
26-04-24,"Harris, Collins And Carney",Rural,Amlodipine,HealthFirst,2243.17,8,17945.36,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,"Brooks, Lam And Hayes",NT-66267-AM,17-10-26,904.00,Low Risk,0,Mobile Van,Injection,3
26-04-24,"Henderson, Ramirez And Lewis",Urban,Coartem,HealthFirst,4372.18,98,428473.64,2523.47,1766.43,Low Risk,0,51,77,High Risk,1,Novak And Sons,ZK-88550-WR,19-10-25,541.00,Low Risk,0,Mobile Van,Capsule,4
26-04-24,"Hoffman, Baker And Richards",Urban,Amoxicillin,FarmaTrust,1775.23,48,85211.04,2624.80,1837.36,High Risk,1,51,76,Low Risk,0,Novak Plc,DC-15149-FA,20-11-25,573.00,Low Risk,0,Market Stall,Tablet,1
26-04-24,"Reid, Ferguson And Sanchez",Rural,Amoxicillin,MediPlus,4421.5,46,203389,2624.80,1837.36,Low Risk,0,51,76,Low Risk,0,"Brown, Valdez And Lucas",KE-87308-IU,09-02-27,1019.00,Low Risk,0,Market Stall,Syrup,2
26-04-24,Rodriguez Llc,Rural,Amlodipine,HealthFirst,401.9,82,32955.8,2698.49,1888.95,High Risk,1,51,77,High Risk,1,"Brooks, Lam And Hayes",YZ-38503-CV,16-08-26,842.00,Low Risk,0,In-Store,Capsule,4
26-04-24,Rodriguez-Graham,Urban,Paracetamol,HealthFirst,1256.31,61,76634.91,2636.16,1845.31,High Risk,1,49,74,Low Risk,0,"Robinson, Jones And Welch",KC-67560-IA,24-09-26,881.00,Low Risk,0,Mobile Van,Tablet,1
26-04-24,"Ross, Robinson And Bright",Urban,Ciprofloxacin,HealthFirst,3760.42,60,225625.2,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,"Stanley, Tucker And Lee",RM-04837-PO,03-03-26,676.00,Low Risk,0,In-Store,Capsule,4
26-04-24,Ryan Plc,Urban,Amoxicillin,PharmaTrust,4292.31,23,98723.13,2624.80,1837.36,Low Risk,0,51,76,Low Risk,0,Morton-Chase,ZU-74051-SJ,19-02-27,1029.00,Low Risk,0,Mobile Van,Capsule,4
26-04-24,Smith-Bowen,Urban,Artemisinin,MediPlus,3708.59,69,255892.71,2588.57,1812.00,Low Risk,0,52,78,Low Risk,0,Williams Plc,YW-93659-ID,24-06-25,424.00,Low Risk,0,Market Stall,Injection,3
26-04-24,Smith-Bowen,Rural,Amlodipine,PharmaTrust,2923.96,36,105262.56,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,Baxter Inc,DZ-16548-XC,12-06-26,777.00,Low Risk,0,Mobile Van,Tablet,1
26-04-24,Spence Plc,Urban,Azithromycin,BioCare,1697.65,10,16976.5,2628.19,1839.74,High Risk,1,50,75,Low Risk,0,Wright And Sons,YW-40793-EZ,26-05-26,760.00,Low Risk,0,Market Stall,Syrup,2
26-04-24,Williams And Sons,Urban,Ciprofloxacin,PharmaTrust,3168.68,98,310530.64,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,Chapman And Sons,LK-78836-JM,26-09-25,518.00,Low Risk,0,Mobile Van,Tablet,1
27-04-24,Anderson Group,Rural,Coartem,MediPlus,3613.9,69,249359.1,2523.47,1766.43,Low Risk,0,51,77,Low Risk,0,Jones Inc,PS-71058-WD,06-07-25,435.00,Low Risk,0,Mobile Van,Capsule,4
